,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Entrato
7,8,Titolare
8,9,Entrato
9,10,Inutilizzato
10,11,Entrato
11,12,Inutilizzato
12,13,Entrato
13,14,Inutilizzato
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Entrato
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Infortunato
23,24,Titolare
24,25,Titolare
25,26,Infortunato
26,27,Inutilizzato
27,28,Entrato
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Entrato
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Infortunato
