,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Entrato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Titolare
6,7,Inutilizzato
7,8,Entrato
8,9,Inutilizzato
9,10,Titolare
10,11,Inutilizzato
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Titolare
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Titolare
20,21,Entrato
21,22,Entrato
22,23,Entrato
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Squalificato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Entrato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
