,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Entrato
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Inutilizzato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Titolare
31,32,Inutilizzato
32,33,Entrato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Entrato
36,37,Titolare
37,38,Titolare
