,Giornata,Status
0,1,Infortunato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Entrato
4,5,Entrato
5,6,Titolare
6,7,Entrato
7,8,Titolare
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Inutilizzato
15,16,Titolare
16,17,Inutilizzato
17,18,Titolare
18,19,Inutilizzato
19,20,Infortunato
20,21,Entrato
21,22,Inutilizzato
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Entrato
26,27,Titolare
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Entrato
32,33,Entrato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
