,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Titolare
3,4,Entrato
4,5,Inutilizzato
5,6,Entrato
6,7,Entrato
7,8,Titolare
8,9,Entrato
9,10,Titolare
10,11,Entrato
11,12,Titolare
12,13,Entrato
13,14,Titolare
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Titolare
17,18,Titolare
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Titolare
22,23,Titolare
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Entrato
26,27,Inutilizzato
27,28,Entrato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Titolare
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Infortunato
35,36,Inutilizzato
36,37,Titolare
37,38,Inutilizzato
