,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Titolare
4,5,Entrato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Inutilizzato
9,10,Entrato
10,11,Entrato
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Inutilizzato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Squalificato
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Infortunato
28,29,Titolare
29,30,Inutilizzato
30,31,Infortunato
31,32,Infortunato
32,33,Inutilizzato
33,34,Entrato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
