,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Entrato
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Inutilizzato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Entrato
12,13,Infortunato
13,14,Infortunato
14,15,Inutilizzato
15,16,Entrato
16,17,Titolare
17,18,Entrato
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Inutilizzato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Inutilizzato
33,34,Entrato
34,35,Infortunato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Infortunato
