,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Entrato
8,9,Inutilizzato
9,10,Titolare
10,11,Entrato
11,12,Entrato
12,13,Inutilizzato
13,14,Titolare
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Infortunato
21,22,Infortunato
22,23,Infortunato
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Entrato
27,28,Titolare
28,29,Entrato
29,30,Titolare
30,31,Squalificato
31,32,Titolare
32,33,Entrato
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Entrato
