,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Entrato
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Titolare
22,23,Infortunato
23,24,Titolare
24,25,Entrato
25,26,Entrato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Entrato
30,31,Entrato
31,32,Titolare
32,33,Entrato
33,34,Titolare
34,35,Entrato
35,36,Titolare
36,37,Titolare
37,38,Titolare
