,Giornata,Status
0,1,Inutilizzato
1,2,Titolare
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Entrato
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Inutilizzato
11,12,Entrato
12,13,Inutilizzato
13,14,Titolare
14,15,Titolare
15,16,Squalificato
16,17,Inutilizzato
17,18,Entrato
18,19,Inutilizzato
19,20,Entrato
20,21,Inutilizzato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Inutilizzato
28,29,Titolare
29,30,Inutilizzato
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Squalificato
