,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Inutilizzato
3,4,Entrato
4,5,Entrato
5,6,Inutilizzato
6,7,Entrato
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Titolare
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Squalificato
23,24,Infortunato
24,25,Entrato
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Titolare
29,30,Titolare
30,31,Infortunato
31,32,Titolare
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Titolare
36,37,Titolare
37,38,Titolare
