,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Entrato
14,15,Entrato
15,16,Titolare
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Entrato
20,21,Infortunato
21,22,Infortunato
22,23,Infortunato
23,24,Entrato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Entrato
27,28,Infortunato
28,29,Inutilizzato
29,30,Infortunato
30,31,Inutilizzato
31,32,Entrato
32,33,Entrato
33,34,Inutilizzato
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
