,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Titolare
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Entrato
11,12,Entrato
12,13,Titolare
13,14,Inutilizzato
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Titolare
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Squalificato
31,32,Titolare
32,33,Titolare
33,34,Inutilizzato
34,35,Titolare
35,36,Infortunato
36,37,Entrato
37,38,Inutilizzato
