,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Entrato
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Inutilizzato
10,11,Entrato
11,12,Entrato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Entrato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Titolare
19,20,Entrato
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Entrato
29,30,Entrato
30,31,Titolare
31,32,Entrato
32,33,Entrato
33,34,Inutilizzato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Entrato
