,Giornata,Status
0,1,Titolare
1,2,Entrato
2,3,Infortunato
3,4,Entrato
4,5,Titolare
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Inutilizzato
10,11,Entrato
11,12,Inutilizzato
12,13,Entrato
13,14,Inutilizzato
14,15,Entrato
15,16,Inutilizzato
16,17,Entrato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Titolare
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Entrato
23,24,Inutilizzato
24,25,Entrato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Titolare
