,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Squalificato
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Infortunato
20,21,Infortunato
21,22,Infortunato
22,23,Infortunato
23,24,Infortunato
24,25,Inutilizzato
25,26,Entrato
26,27,Entrato
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Squalificato
32,33,Titolare
33,34,Inutilizzato
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
