,Giornata,Status
0,1,Titolare
1,2,Entrato
2,3,Titolare
3,4,Inutilizzato
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Entrato
12,13,Entrato
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Entrato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Titolare
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Inutilizzato
25,26,Entrato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Inutilizzato
31,32,Titolare
32,33,Inutilizzato
33,34,Entrato
34,35,Inutilizzato
35,36,Entrato
36,37,Titolare
37,38,Entrato
