,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Entrato
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Entrato
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Titolare
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Entrato
22,23,Inutilizzato
23,24,Entrato
24,25,Inutilizzato
25,26,Titolare
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Entrato
36,37,Inutilizzato
37,38,Titolare
