,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Entrato
4,5,Entrato
5,6,Inutilizzato
6,7,Entrato
7,8,Entrato
8,9,Titolare
9,10,Entrato
10,11,Inutilizzato
11,12,Entrato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Titolare
15,16,Inutilizzato
16,17,Titolare
17,18,Titolare
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Inutilizzato
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Inutilizzato
29,30,Titolare
30,31,Inutilizzato
31,32,Titolare
32,33,Entrato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
