,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Entrato
3,4,Inutilizzato
4,5,Entrato
5,6,Entrato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Entrato
10,11,Entrato
11,12,Inutilizzato
12,13,Entrato
13,14,Inutilizzato
14,15,Entrato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Entrato
22,23,Titolare
23,24,Entrato
24,25,Entrato
25,26,Inutilizzato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Inutilizzato
30,31,Entrato
31,32,Titolare
32,33,Titolare
33,34,Inutilizzato
34,35,Infortunato
35,36,Infortunato
36,37,Inutilizzato
37,38,Inutilizzato
