,Giornata,Status
0,1,Titolare
1,2,Entrato
2,3,Titolare
3,4,Entrato
4,5,Entrato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Entrato
21,22,Entrato
22,23,Entrato
23,24,Inutilizzato
24,25,Titolare
25,26,Entrato
26,27,Titolare
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Titolare
30,31,Titolare
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Titolare
34,35,Infortunato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Entrato
