,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Entrato
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Squalificato
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Entrato
20,21,Entrato
21,22,Entrato
22,23,Entrato
23,24,Entrato
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Squalificato
31,32,Titolare
32,33,Titolare
33,34,Infortunato
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Titolare
