,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Entrato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Entrato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Inutilizzato
33,34,Titolare
34,35,Entrato
35,36,Titolare
36,37,Inutilizzato
37,38,Inutilizzato
