,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Titolare
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Entrato
9,10,Entrato
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Infortunato
33,34,Entrato
34,35,Titolare
35,36,Titolare
36,37,Inutilizzato
37,38,Inutilizzato
