,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Entrato
6,7,Inutilizzato
7,8,Entrato
8,9,Titolare
9,10,Inutilizzato
10,11,Infortunato
11,12,Infortunato
12,13,Titolare
13,14,Entrato
14,15,Entrato
15,16,Entrato
16,17,Inutilizzato
17,18,Entrato
18,19,Titolare
19,20,Entrato
20,21,Titolare
21,22,Entrato
22,23,Inutilizzato
23,24,Entrato
24,25,Entrato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Entrato
29,30,Entrato
30,31,Entrato
31,32,Inutilizzato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Titolare
36,37,Titolare
37,38,Inutilizzato
