,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Entrato
9,10,Entrato
10,11,Titolare
11,12,Inutilizzato
12,13,Titolare
13,14,Titolare
14,15,Entrato
15,16,Titolare
16,17,Inutilizzato
17,18,Entrato
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Entrato
22,23,Infortunato
23,24,Infortunato
24,25,Entrato
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Titolare
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Titolare
37,38,Inutilizzato
