,Giornata,Status
0,1,Infortunato
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Infortunato
6,7,Titolare
7,8,Infortunato
8,9,Inutilizzato
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Entrato
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Inutilizzato
21,22,Entrato
22,23,Entrato
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Titolare
36,37,Inutilizzato
37,38,Titolare
