,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Titolare
19,20,Titolare
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Infortunato
27,28,Entrato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Inutilizzato
34,35,Infortunato
35,36,Titolare
36,37,Titolare
37,38,Titolare
