,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Titolare
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Entrato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Titolare
21,22,Inutilizzato
22,23,Infortunato
23,24,Inutilizzato
24,25,Entrato
25,26,Inutilizzato
26,27,Titolare
27,28,Titolare
28,29,Infortunato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Titolare
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Entrato
37,38,Inutilizzato
