,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Entrato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Inutilizzato
20,21,Entrato
21,22,Entrato
22,23,Entrato
23,24,Infortunato
24,25,Entrato
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Entrato
29,30,Entrato
30,31,Entrato
31,32,Infortunato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
