,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Titolare
4,5,Titolare
5,6,Infortunato
6,7,Titolare
7,8,Infortunato
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Infortunato
14,15,Inutilizzato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Infortunato
22,23,Inutilizzato
23,24,Titolare
24,25,Entrato
25,26,Titolare
26,27,Titolare
27,28,Infortunato
28,29,Inutilizzato
29,30,Entrato
30,31,Entrato
31,32,Titolare
32,33,Entrato
33,34,Entrato
34,35,Infortunato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
