,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Entrato
3,4,Inutilizzato
4,5,Entrato
5,6,Inutilizzato
6,7,Entrato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Entrato
11,12,Titolare
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Entrato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Entrato
26,27,Entrato
27,28,Titolare
28,29,Titolare
29,30,Entrato
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Titolare
34,35,Squalificato
35,36,Titolare
36,37,Titolare
37,38,Titolare
