,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Inutilizzato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Inutilizzato
11,12,Titolare
12,13,Titolare
13,14,Inutilizzato
14,15,Titolare
15,16,Inutilizzato
16,17,Titolare
17,18,Inutilizzato
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Entrato
23,24,Squalificato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Infortunato
28,29,Infortunato
29,30,Inutilizzato
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Inutilizzato
34,35,Titolare
35,36,Inutilizzato
36,37,Titolare
37,38,Inutilizzato
