,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Inutilizzato
7,8,Titolare
8,9,Inutilizzato
9,10,Titolare
10,11,Entrato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Titolare
14,15,Squalificato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Infortunato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Infortunato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Entrato
