,Giornata,Status
0,1,Titolare
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Infortunato
9,10,Infortunato
10,11,Entrato
11,12,Inutilizzato
12,13,Titolare
13,14,Inutilizzato
14,15,Titolare
15,16,Entrato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Titolare
19,20,Inutilizzato
20,21,Infortunato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Inutilizzato
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Inutilizzato
31,32,Titolare
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Titolare
36,37,Titolare
37,38,Inutilizzato
