,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Titolare
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Titolare
15,16,Infortunato
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Infortunato
20,21,Entrato
21,22,Inutilizzato
22,23,Infortunato
23,24,Infortunato
24,25,Entrato
25,26,Titolare
26,27,Entrato
27,28,Entrato
28,29,Squalificato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Entrato
