,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Inutilizzato
10,11,Infortunato
11,12,Titolare
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Entrato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Infortunato
27,28,Titolare
28,29,Titolare
29,30,Entrato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Titolare
34,35,Inutilizzato
35,36,Titolare
36,37,Inutilizzato
37,38,Entrato
