,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Entrato
20,21,Infortunato
21,22,Entrato
22,23,Inutilizzato
23,24,Infortunato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Entrato
28,29,Titolare
29,30,Titolare
30,31,Entrato
31,32,Infortunato
32,33,Infortunato
33,34,Entrato
34,35,Titolare
35,36,Titolare
36,37,Entrato
37,38,Titolare
