,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Entrato
3,4,Titolare
4,5,Entrato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Entrato
12,13,Titolare
13,14,Titolare
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Entrato
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Entrato
23,24,Titolare
24,25,Entrato
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Entrato
29,30,Entrato
30,31,Inutilizzato
31,32,Titolare
32,33,Titolare
33,34,Entrato
34,35,Inutilizzato
35,36,Titolare
36,37,Titolare
37,38,Titolare
