,Giornata,Status
0,1,Infortunato
1,2,Entrato
2,3,Titolare
3,4,Titolare
4,5,Entrato
5,6,Titolare
6,7,Inutilizzato
7,8,Infortunato
8,9,Infortunato
9,10,Inutilizzato
10,11,Entrato
11,12,Titolare
12,13,Titolare
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Infortunato
18,19,Infortunato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Entrato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
