,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Inutilizzato
8,9,Entrato
9,10,Entrato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Entrato
13,14,Entrato
14,15,Inutilizzato
15,16,Entrato
16,17,Inutilizzato
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Entrato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Entrato
30,31,Inutilizzato
31,32,Entrato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Entrato
