,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Titolare
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Titolare
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Entrato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Inutilizzato
33,34,Titolare
34,35,Inutilizzato
35,36,Infortunato
36,37,Infortunato
37,38,Inutilizzato
