,Giornata,Status
0,1,Infortunato
1,2,Infortunato
2,3,Inutilizzato
3,4,Entrato
4,5,Entrato
5,6,Entrato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Titolare
10,11,Entrato
11,12,Entrato
12,13,Infortunato
13,14,Infortunato
14,15,Entrato
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Titolare
22,23,Entrato
23,24,Entrato
24,25,Entrato
25,26,Titolare
26,27,Titolare
27,28,Inutilizzato
28,29,Entrato
29,30,Entrato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
