,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Entrato
3,4,Titolare
4,5,Entrato
5,6,Entrato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Inutilizzato
9,10,Entrato
10,11,Entrato
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Titolare
16,17,Entrato
17,18,Entrato
18,19,Inutilizzato
19,20,Entrato
20,21,Infortunato
21,22,Titolare
22,23,Titolare
23,24,Entrato
24,25,Inutilizzato
25,26,Entrato
26,27,Entrato
27,28,Titolare
28,29,Entrato
29,30,Squalificato
30,31,Inutilizzato
31,32,Entrato
32,33,Inutilizzato
33,34,Entrato
34,35,Inutilizzato
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
