,Giornata,Status
0,1,Infortunato
1,2,Inutilizzato
2,3,Entrato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Entrato
7,8,Inutilizzato
8,9,Entrato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Entrato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Entrato
17,18,Entrato
18,19,Entrato
19,20,Infortunato
20,21,Infortunato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
