,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Entrato
3,4,Entrato
4,5,Entrato
5,6,Titolare
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Titolare
9,10,Entrato
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Titolare
14,15,Entrato
15,16,Entrato
16,17,Inutilizzato
17,18,Entrato
18,19,Entrato
19,20,Inutilizzato
20,21,Entrato
21,22,Titolare
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Inutilizzato
26,27,Entrato
27,28,Titolare
28,29,Inutilizzato
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Inutilizzato
33,34,Entrato
34,35,Titolare
35,36,Entrato
36,37,Entrato
37,38,Titolare
