,Giornata,Status
0,1,Titolare
1,2,Squalificato
2,3,Infortunato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Entrato
9,10,Inutilizzato
10,11,Infortunato
11,12,Infortunato
12,13,Infortunato
13,14,Infortunato
14,15,Infortunato
15,16,Infortunato
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Titolare
20,21,Infortunato
21,22,Infortunato
22,23,Inutilizzato
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Inutilizzato
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Titolare
