,Giornata,Status
0,1,Titolare
1,2,Entrato
2,3,Entrato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Infortunato
8,9,Inutilizzato
9,10,Entrato
10,11,Entrato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Entrato
15,16,Entrato
16,17,Entrato
17,18,Inutilizzato
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Titolare
24,25,Titolare
25,26,Inutilizzato
26,27,Titolare
27,28,Titolare
28,29,Titolare
29,30,Titolare
30,31,Titolare
31,32,Titolare
32,33,Titolare
33,34,Entrato
34,35,Titolare
35,36,Infortunato
36,37,Infortunato
37,38,Inutilizzato
