,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Entrato
3,4,Titolare
4,5,Entrato
5,6,Entrato
6,7,Inutilizzato
7,8,Entrato
8,9,Entrato
9,10,Inutilizzato
10,11,Entrato
11,12,Titolare
12,13,Titolare
13,14,Inutilizzato
14,15,Entrato
15,16,Titolare
16,17,Inutilizzato
17,18,Entrato
18,19,Entrato
19,20,Entrato
20,21,Entrato
21,22,Entrato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Entrato
25,26,Infortunato
26,27,Entrato
27,28,Inutilizzato
28,29,Entrato
29,30,Inutilizzato
30,31,Entrato
31,32,Entrato
32,33,Inutilizzato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Titolare
