,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Inutilizzato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Inutilizzato
8,9,Entrato
9,10,Inutilizzato
10,11,Inutilizzato
11,12,Entrato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Infortunato
15,16,Infortunato
16,17,Inutilizzato
17,18,Entrato
18,19,Entrato
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Entrato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Entrato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Infortunato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
