,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Entrato
4,5,Entrato
5,6,Titolare
6,7,Entrato
7,8,Entrato
8,9,Entrato
9,10,Entrato
10,11,Entrato
11,12,Inutilizzato
12,13,Entrato
13,14,Inutilizzato
14,15,Entrato
15,16,Titolare
16,17,Inutilizzato
17,18,Entrato
18,19,Titolare
19,20,Entrato
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Entrato
25,26,Titolare
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Entrato
30,31,Entrato
31,32,Entrato
32,33,Inutilizzato
33,34,Inutilizzato
34,35,Entrato
35,36,Entrato
36,37,Inutilizzato
37,38,Inutilizzato
