,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Titolare
3,4,Inutilizzato
4,5,Titolare
5,6,Inutilizzato
6,7,Entrato
7,8,Titolare
8,9,Squalificato
9,10,Titolare
10,11,Titolare
11,12,Entrato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Titolare
15,16,Titolare
16,17,Entrato
17,18,Inutilizzato
18,19,Titolare
19,20,Titolare
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Entrato
23,24,Titolare
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Entrato
28,29,Titolare
29,30,Inutilizzato
30,31,Entrato
31,32,Inutilizzato
32,33,Entrato
33,34,Inutilizzato
34,35,Entrato
35,36,Inutilizzato
36,37,Infortunato
37,38,Infortunato
