,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Infortunato
3,4,Infortunato
4,5,Entrato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Inutilizzato
9,10,Infortunato
10,11,Titolare
11,12,Titolare
12,13,Inutilizzato
13,14,Entrato
14,15,Entrato
15,16,Inutilizzato
16,17,Infortunato
17,18,Infortunato
18,19,Infortunato
19,20,Infortunato
20,21,Infortunato
21,22,Infortunato
22,23,Infortunato
23,24,Infortunato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Infortunato
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Inutilizzato
