,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Entrato
3,4,Inutilizzato
4,5,Entrato
5,6,Entrato
6,7,Entrato
7,8,Titolare
8,9,Entrato
9,10,Inutilizzato
10,11,Titolare
11,12,Titolare
12,13,Titolare
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Entrato
16,17,Titolare
17,18,Inutilizzato
18,19,Entrato
19,20,Entrato
20,21,Titolare
21,22,Entrato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Inutilizzato
29,30,Entrato
30,31,Titolare
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Entrato
34,35,Entrato
35,36,Titolare
36,37,Inutilizzato
37,38,Entrato
