,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Infortunato
8,9,Entrato
9,10,Titolare
10,11,Titolare
11,12,Entrato
12,13,Inutilizzato
13,14,Entrato
14,15,Titolare
15,16,Titolare
16,17,Entrato
17,18,Squalificato
18,19,Entrato
19,20,Titolare
20,21,Entrato
21,22,Entrato
22,23,Entrato
23,24,Titolare
24,25,Titolare
25,26,Entrato
26,27,Entrato
27,28,Inutilizzato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Titolare
31,32,Entrato
32,33,Titolare
33,34,Titolare
34,35,Titolare
35,36,Infortunato
36,37,Infortunato
37,38,Inutilizzato
