,Giornata,Status
0,1,Inutilizzato
1,2,Entrato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Entrato
6,7,Inutilizzato
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Entrato
11,12,Inutilizzato
12,13,Entrato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Inutilizzato
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Inutilizzato
22,23,Inutilizzato
23,24,Entrato
24,25,Inutilizzato
25,26,Entrato
26,27,Titolare
27,28,Entrato
28,29,Titolare
29,30,Titolare
30,31,Entrato
31,32,Entrato
32,33,Entrato
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Titolare
