,Giornata,Status
0,1,Entrato
1,2,Titolare
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Titolare
6,7,Titolare
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Entrato
15,16,Entrato
16,17,Inutilizzato
17,18,Inutilizzato
18,19,Inutilizzato
19,20,Titolare
20,21,Titolare
21,22,Squalificato
22,23,Infortunato
23,24,Inutilizzato
24,25,Titolare
25,26,Titolare
26,27,Inutilizzato
27,28,Titolare
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Titolare
34,35,Inutilizzato
35,36,Titolare
36,37,Entrato
37,38,Titolare
