,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Entrato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Entrato
10,11,Inutilizzato
11,12,Inutilizzato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Inutilizzato
15,16,Entrato
16,17,Entrato
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Entrato
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Entrato
26,27,Inutilizzato
27,28,Inutilizzato
28,29,Entrato
29,30,Inutilizzato
30,31,Entrato
31,32,Inutilizzato
32,33,Inutilizzato
33,34,Entrato
34,35,Inutilizzato
35,36,Entrato
36,37,Entrato
37,38,Inutilizzato
