,Giornata,Status
0,1,Entrato
1,2,Inutilizzato
2,3,Inutilizzato
3,4,Inutilizzato
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Inutilizzato
8,9,Entrato
9,10,Inutilizzato
10,11,Titolare
11,12,Entrato
12,13,Entrato
13,14,Entrato
14,15,Titolare
15,16,Entrato
16,17,Entrato
17,18,Titolare
18,19,Entrato
19,20,Squalificato
20,21,Squalificato
21,22,Titolare
22,23,Titolare
23,24,Inutilizzato
24,25,Entrato
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Inutilizzato
31,32,Inutilizzato
32,33,Titolare
33,34,Inutilizzato
34,35,Inutilizzato
35,36,Inutilizzato
36,37,Inutilizzato
37,38,Entrato
