,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Inutilizzato
5,6,Inutilizzato
6,7,Inutilizzato
7,8,Titolare
8,9,Titolare
9,10,Entrato
10,11,Titolare
11,12,Inutilizzato
12,13,Titolare
13,14,Entrato
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Titolare
22,23,Inutilizzato
23,24,Inutilizzato
24,25,Infortunato
25,26,Infortunato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Entrato
31,32,Inutilizzato
32,33,Titolare
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
