,Giornata,Status
0,1,Squalificato
1,2,Titolare
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Inutilizzato
7,8,Titolare
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Titolare
13,14,Titolare
14,15,Entrato
15,16,Titolare
16,17,Titolare
17,18,Titolare
18,19,Infortunato
19,20,Entrato
20,21,Titolare
21,22,Infortunato
22,23,Entrato
23,24,Inutilizzato
24,25,Titolare
25,26,Titolare
26,27,Titolare
27,28,Squalificato
28,29,Entrato
29,30,Infortunato
30,31,Infortunato
31,32,Titolare
32,33,Infortunato
33,34,Infortunato
34,35,Inutilizzato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
