,Giornata,Status
0,1,Inutilizzato
1,2,Inutilizzato
2,3,Entrato
3,4,Infortunato
4,5,Infortunato
5,6,Infortunato
6,7,Infortunato
7,8,Entrato
8,9,Entrato
9,10,Inutilizzato
10,11,Titolare
11,12,Titolare
12,13,Inutilizzato
13,14,Titolare
14,15,Inutilizzato
15,16,Titolare
16,17,Inutilizzato
17,18,Titolare
18,19,Inutilizzato
19,20,Inutilizzato
20,21,Entrato
21,22,Titolare
22,23,Titolare
23,24,Inutilizzato
24,25,Inutilizzato
25,26,Inutilizzato
26,27,Inutilizzato
27,28,Entrato
28,29,Inutilizzato
29,30,Entrato
30,31,Titolare
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
