,Giornata,Status
0,1,Squalificato
1,2,Entrato
2,3,Titolare
3,4,Titolare
4,5,Titolare
5,6,Titolare
6,7,Entrato
7,8,Titolare
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Titolare
13,14,Titolare
14,15,Infortunato
15,16,Titolare
16,17,Infortunato
17,18,Entrato
18,19,Titolare
19,20,Inutilizzato
20,21,Inutilizzato
21,22,Entrato
22,23,Titolare
23,24,Infortunato
24,25,Infortunato
25,26,Inutilizzato
26,27,Entrato
27,28,Titolare
28,29,Inutilizzato
29,30,Inutilizzato
30,31,Titolare
31,32,Entrato
32,33,Infortunato
33,34,Infortunato
34,35,Titolare
35,36,Titolare
36,37,Titolare
37,38,Squalificato
