,Giornata,Status
0,1,Titolare
1,2,Titolare
2,3,Entrato
3,4,Titolare
4,5,Entrato
5,6,Inutilizzato
6,7,Infortunato
7,8,Infortunato
8,9,Infortunato
9,10,Infortunato
10,11,Infortunato
11,12,Infortunato
12,13,Inutilizzato
13,14,Inutilizzato
14,15,Titolare
15,16,Entrato
16,17,Titolare
17,18,Titolare
18,19,Infortunato
19,20,Titolare
20,21,Inutilizzato
21,22,Titolare
22,23,Titolare
23,24,Titolare
24,25,Titolare
25,26,Inutilizzato
26,27,Infortunato
27,28,Infortunato
28,29,Infortunato
29,30,Infortunato
30,31,Infortunato
31,32,Infortunato
32,33,Infortunato
33,34,Infortunato
34,35,Infortunato
35,36,Infortunato
36,37,Infortunato
37,38,Infortunato
